age,education,gender,univ,prog_year,agreeableness,conscientiousness,performance
49,3,1,NA,1,4.8,4.0,3.8
67,3,2,NA,2,5.8,5.8,5.0
64,3,1,NA,1,4.8,5.2,4.2
45,3,1,NA,1,4.4,3.8,3.8
48,3,2,NA,2,5.2,5.0,5.0
52,4,2,NA,2,5.8,5.2,5.2
57,3,2,NA,2,4.2,3.2,3.4
59,3,2,NA,2,6.0,5.2,5.4
60,2,1,NA,1,5.6,3.6,5.0
46,4,2,NA,2,5.6,5.8,5.4
47,3,1,NA,1,4.0,3.6,4.0
61,3,2,NA,2,4.2,2.8,3.8
54,3,2,NA,2,5.2,2.6,2.6
43,3,2,NA,2,6.0,3.4,6.0
51,3,1,NA,1,5.0,4.6,5.6
58,3,2,NA,2,5.0,5.6,3.0
64,3,2,NA,2,5.4,4.0,3.8
51,3,2,NA,2,4.4,4.0,5.8
53,5,1,NA,1,5.6,4.4,4.6
48,3,2,NA,2,3.0,3.5,2.4
66,3,1,NA,1,5.4,6.0,5.6
56,3,2,NA,2,5.0,4.8,4.4
48,3,2,NA,2,5.0,4.0,3.6
48,3,2,NA,2,5.6,3.2,3.8
62,3,2,NA,2,5.4,5.6,5.2
52,3,2,NA,2,5.2,4.2,4.8
39,3,2,NA,2,3.2,3.0,3.0
45,3,2,NA,2,5.0,4.0,4.8
57,5,2,NA,2,4.8,4.4,4.2
49,3,2,NA,2,5.6,5.0,5.4
52,3,2,NA,2,3.2,4.0,4.4
47,3,1,NA,1,5.4,4.6,5.6
47,3,2,NA,2,4.8,4.8,3.6
59,3,1,NA,1,5.0,3.5,4.4
65,NA,1,NA,1,5.0,4.2,4.8
58,3,2,NA,2,4.4,5.2,5.0
42,1,2,NA,2,5.4,4.6,4.8
43,1,2,NA,2,5.4,5.0,4.4
45,3,2,NA,2,4.2,4.2,3.8
55,3,2,NA,2,6.0,5.8,5.8
53,3,2,NA,2,5.4,5.2,4.4
48,2,2,NA,2,5.0,4.8,5.8
63,3,2,NA,2,6.0,5.0,3.8
50,1,1,NA,1,5.4,5.0,5.2
47,3,2,NA,2,4.4,3.4,3.6
39,3,2,NA,2,5.2,5.0,5.6
43,2,2,NA,2,5.2,3.2,5.4
51,3,2,NA,2,5.8,3.75,5.6
42,1,2,NA,2,3.6,4.2,3.8
60,3,1,NA,1,5.4,3.4,4.0
60,3,2,NA,2,5.6,3.8,2.6
75,3,2,NA,2,6.0,4.666666666666667,4.2
75,3,2,NA,2,6.0,4.75,4.2
74,3,2,NA,2,6.0,5.8,6.0
73,1,2,NA,2,4.8,3.25,3.0
40,3,1,NA,1,5.8,4.6,3.8
72,3,1,NA,1,5.4,4.4,4.0
45,3,2,NA,2,6.0,5.6,4.0
66,3,1,NA,1,5.6,5.8,4.0
39,3,1,NA,1,4.0,4.0,3.6
58,3,1,NA,1,4.0,5.8,5.2
47,3,2,NA,2,4.4,3.6,4.2
47,3,2,NA,2,5.2,3.8,4.2
54,3,1,NA,1,5.2,5.8,4.4
41,3,2,NA,2,5.0,5.2,3.6
49,2,2,NA,2,5.2,6.0,6.0
47,3,2,NA,2,4.8,5.6,4.0
61,2,2,NA,2,4.0,3.8,3.0
72,3,2,NA,2,4.2,4.0,5.0
50,3,2,NA,2,3.8,2.8,2.0
70,2,2,NA,2,5.0,5.0,4.6
63,3,2,NA,2,3.8,4.8,3.8
52,5,2,NA,2,5.6,3.2,5.0
39,3,1,NA,1,2.6,4.8,3.8
42,4,2,NA,2,5.8,4.8,3.6
41,3,2,NA,2,5.0,4.6,4.2
70,5,1,NA,1,3.2,3.4,2.4
47,4,2,NA,2,5.6,5.4,3.8
68,3,2,NA,2,5.0,4.6,3.4
32,NA,2,NA,2,3.4,3.8,2.8
63,3,2,NA,2,4.8,3.2,3.0
57,3,1,NA,1,5.2,5.0,6.0
38,3,2,NA,2,4.6,4.0,4.2
38,3,2,NA,2,4.8,4.0,3.8
44,3,2,NA,2,5.6,5.0,4.0
43,3,2,NA,2,5.4,3.4,4.8
40,3,2,NA,2,4.0,4.6,5.8
52,2,2,NA,2,6.0,5.4,4.2
57,4,1,NA,1,5.0,3.6,3.6
39,3,1,NA,1,5.8,5.4,3.0
49,3,2,NA,2,4.0,3.6,2.6
40,3,2,NA,2,4.4,5.2,5.0
46,4,2,NA,2,5.6,4.4,5.2
53,4,2,NA,2,4.0,3.6,2.4
58,5,2,NA,2,3.8,3.4,3.0
46,2,1,NA,1,5.8,4.8,4.8
50,3,2,NA,2,5.2,5.0,5.6
56,3,1,NA,1,5.2,5.2,4.4
61,3,2,NA,2,6.0,5.2,3.6
54,5,2,NA,2,5.6,4.2,3.8
55,3,2,NA,2,5.4,3.2,3.2
60,3,2,NA,2,5.2,5.0,4.2
53,3,2,NA,2,1.0,6.0,2.0
48,3,2,NA,2,4.2,5.0,3.6
49,3,2,NA,2,4.8,3.8,5.2
37,NA,2,NA,2,1.6,2.8,3.4
70,3,2,NA,2,4.8,5.0,4.8
40,3,1,NA,1,4.75,2.8,5.8
39,3,2,NA,2,4.2,4.8,3.4
45,2,2,NA,2,5.0,4.4,5.2
51,3,2,NA,2,4.4,3.0,4.0
52,4,2,NA,2,4.8,4.4,5.0
52,3,2,NA,2,5.8,4.6,4.8
39,3,2,NA,2,2.8,4.2,3.8
42,3,2,NA,2,5.4,5.4,4.0
43,3,2,NA,2,5.0,6.0,2.6
38,1,2,NA,2,4.8,3.2,4.0
39,3,2,NA,2,5.5,5.5,5.5
44,3,2,NA,2,5.4,4.6,4.2
50,3,2,NA,2,4.5,5.2,4.0
53,3,2,NA,2,5.75,4.6,4.8
71,2,1,NA,1,4.6,4.4,2.2
64,4,2,NA,2,4.4,4.4,4.4
43,3,2,NA,2,4.0,4.4,4.6
42,3,1,NA,1,4.0,3.5,3.0
46,3,2,NA,2,5.4,3.6,6.0
44,3,2,NA,2,5.0,3.2,3.8
72,3,2,NA,2,6.0,3.4,5.0
63,3,2,NA,2,5.8,6.0,5.8
45,3,1,NA,1,4.6,3.75,4.0
46,3,2,NA,2,5.8,4.5,5.6
46,2,2,NA,2,5.2,4.2,5.0
45,4,2,NA,2,5.4,5.6,4.2
46,2,2,NA,2,6.0,6.0,6.0
61,2,2,NA,2,4.0,3.6,3.0
41,1,2,NA,2,4.2,3.2,3.6
43,3,2,NA,2,5.6,5.0,3.4
54,4,1,NA,1,3.2,4.6,1.8
61,3,2,NA,2,6.0,5.8,4.6
43,3,2,NA,2,4.4,4.2,4.4
44,2,1,NA,1,5.6,4.8,3.8
65,4,2,NA,2,5.4,5.2,2.6
63,3,2,NA,2,4.8,5.2,5.2
35,NA,2,NA,2,5.0,3.8,3.8
35,NA,2,NA,2,5.4,5.0,5.2
36,NA,1,NA,1,4.6,4.2,5.0
36,NA,1,NA,1,4.6,4.6,4.8
35,NA,1,NA,1,3.4,4.2,3.2
36,NA,1,NA,1,4.0,3.2,3.0
47,4,2,NA,2,5.6,5.0,4.8
57,5,2,NA,2,6.0,5.6,4.8
45,2,2,NA,2,4.8,4.6,5.0
36,NA,2,NA,2,3.0,4.4,3.6
41,3,2,NA,2,5.0,4.8,4.6
36,NA,1,NA,1,3.0,5.6,3.8
36,NA,1,NA,1,3.2,3.2,3.8
47,3,1,NA,1,4.2,2.8,4.0
47,3,2,NA,2,4.4,5.4,4.6
50,3,1,NA,1,4.2,2.8,4.6
43,3,1,NA,1,5.2,4.0,2.8
61,3,1,NA,1,5.2,5.0,5.6
46,3,2,NA,2,4.0,4.8,2.6
37,3,2,NA,2,5.4,5.2,4.6
55,3,2,NA,2,4.4,3.4,3.4
38,3,1,NA,1,4.0,4.6,4.4
39,3,1,NA,1,3.2,5.0,2.4
62,2,1,NA,1,4.8,5.2,3.2
39,3,2,NA,2,5.6,5.2,5.2
55,3,2,NA,2,5.6,4.0,5.8
72,3,2,NA,2,6.0,5.5,5.2
39,3,1,NA,1,4.8,4.0,4.6
61,3,2,NA,2,4.6,4.6,3.6
43,4,2,NA,2,5.8,5.2,5.2
62,3,2,NA,2,5.75,5.0,4.2
39,1,1,NA,1,5.0,4.0,5.6
65,3,2,NA,2,5.0,3.2,5.8
64,3,2,NA,2,5.0,5.8,5.4
41,3,1,NA,1,4.2,4.2,2.2
39,1,2,NA,2,5.2,5.0,5.4
38,3,1,NA,1,4.6,4.8,3.6
54,5,1,NA,1,4.8,4.2,3.0
45,5,1,NA,1,4.4,4.5,3.8
73,5,2,NA,2,5.6,5.8,5.4
56,3,2,NA,2,5.4,4.0,4.0
39,1,1,NA,1,3.6,3.6,3.2
51,4,2,NA,2,5.2,5.6,5.2
43,5,1,NA,1,4.2,4.4,5.2
39,3,2,NA,2,5.8,4.8,4.8
46,3,2,NA,2,4.2,4.2,4.2
43,2,2,NA,2,4.6,4.6,4.8
45,3,1,NA,1,4.6,3.0,5.0
37,NA,2,NA,2,3.8,4.0,4.6
37,1,2,NA,2,4.2,3.6,3.2
37,1,2,NA,2,2.8,3.2,5.4
37,NA,1,NA,1,3.8,3.6,3.8
36,3,2,NA,2,4.2,4.2,4.8
37,NA,1,NA,1,4.6,4.8,2.8
37,NA,1,NA,1,5.4,4.6,5.2
37,NA,1,NA,1,4.0,3.0,3.8
40,3,2,NA,2,5.0,5.2,3.25
37,NA,2,NA,2,3.4,3.6,4.2
37,NA,1,NA,1,3.4,3.6,4.6
36,NA,1,NA,1,5.0,2.0,4.4
37,NA,2,NA,2,4.4,5.4,3.8
37,NA,2,NA,2,3.8,4.0,4.0
37,NA,1,NA,1,5.2,3.2,4.8
44,3,2,NA,2,5.2,4.4,2.8
38,3,1,NA,1,5.8,4.4,5.6
42,3,1,NA,1,4.4,3.6,4.0
47,3,2,NA,2,5.6,5.6,5.8
52,3,2,NA,2,5.0,4.6,3.6
54,1,1,NA,1,5.8,4.8,4.2
42,4,2,NA,2,4.6,5.0,5.2
41,5,1,NA,1,4.8,4.0,4.2
44,3,2,NA,2,5.2,5.0,4.0
39,3,2,NA,2,4.0,3.0,2.4
50,3,2,NA,2,5.6,4.6,5.0
40,3,2,NA,2,4.8,5.0,4.2
39,2,2,NA,2,3.6,2.2,4.8
43,4,2,NA,2,5.4,4.8,2.4
39,1,1,NA,1,3.2,3.2,3.4
41,3,2,NA,2,5.4,3.4,5.0
37,NA,2,NA,2,3.25,3.6,3.8
41,3,1,NA,1,4.8,4.0,5.4
45,3,1,NA,1,5.0,4.6,4.0
42,3,2,NA,2,4.4,3.4,4.6
41,3,1,NA,1,4.8,5.6,4.6
34,NA,2,NA,2,4.2,2.6,1.4
41,3,1,NA,1,3.4,4.4,4.8
39,2,2,NA,2,4.0,4.4,4.4
33,NA,2,NA,2,3.6,3.0,5.0
51,2,2,NA,2,4.6,4.6,5.4
54,4,2,NA,2,4.6,4.2,3.6
35,NA,2,NA,2,3.0,4.0,3.2
57,1,2,NA,2,4.6,4.4,4.6
59,5,2,NA,2,4.8,3.6,5.4
37,NA,2,NA,2,6.0,4.2,4.8
36,1,1,NA,1,4.2,5.6,4.4
36,1,1,NA,1,5.2,3.8,4.8
36,NA,1,NA,1,3.0,4.2,4.6
60,NA,1,NA,1,2.4,1.0,2.2
37,NA,2,NA,2,3.6,3.8,3.4
37,1,2,NA,2,4.4,5.8,4.8
37,NA,1,NA,1,4.0,3.2,3.8
37,NA,1,NA,1,5.2,3.8,5.4
94,5,1,NA,1,2.6,5.6,3.6
37,1,2,NA,2,6.0,3.6,5.8
50,3,2,NA,2,5.2,4.2,5.0
68,4,1,NA,1,2.4,6.0,5.8
52,3,2,NA,2,4.4,3.8,4.8
64,4,2,NA,2,4.4,5.4,5.0
60,3,2,NA,2,5.8,5.4,5.6
43,4,2,NA,2,5.0,4.6,5.4
60,3,2,NA,2,5.2,5.0,5.4
59,3,2,NA,2,6.0,4.8,4.8
37,NA,1,NA,1,4.0,3.2,4.6
45,3,2,NA,2,3.8,3.2,3.0
44,1,2,NA,2,5.0,4.4,3.6
34,NA,1,NA,1,4.8,3.4,5.0
46,3,2,NA,2,5.0,3.4,4.8
54,4,1,NA,1,4.6,4.8,4.8
40,3,2,NA,2,3.8,3.4,4.2
83,3,2,NA,2,4.4,2.2,3.8
38,1,2,NA,2,4.6,3.2,5.2
48,5,2,NA,2,6.0,5.0,6.0
68,2,2,NA,2,5.4,5.0,5.4
59,3,2,NA,2,4.2,4.8,4.0
55,4,1,NA,1,4.8,5.0,5.6
66,2,2,NA,2,4.2,4.4,4.0
40,3,1,NA,1,4.2,4.4,3.8
43,3,2,NA,2,5.4,5.6,3.8
59,3,2,NA,2,4.2,5.5,4.8
62,2,2,NA,2,5.0,4.0,4.4
46,3,1,NA,1,5.2,5.25,4.8
39,3,2,NA,2,5.2,3.0,3.8
58,1,1,NA,1,3.4,4.8,4.0
42,3,2,NA,2,4.0,3.8,4.4
43,3,2,NA,2,5.0,4.4,5.4
44,3,2,NA,2,5.8,5.4,5.6
45,4,2,NA,2,5.8,5.8,4.8
41,3,2,NA,2,4.6,3.4,4.6
59,4,2,NA,2,4.2,4.0,3.6
51,5,1,NA,1,4.8,4.4,5.0
38,1,1,NA,1,3.6,4.8,4.8
40,3,1,NA,1,2.8,5.8,4.4
40,3,1,NA,1,2.4,6.0,4.2
43,2,1,NA,1,4.6,3.4,4.2
44,4,1,NA,1,4.8,4.6,3.0
77,NA,2,NA,2,4.4,2.0,4.6
40,3,1,NA,1,3.2,1.6,4.6
42,3,1,NA,1,5.8,4.2,4.8
41,3,2,NA,2,5.0,3.6,4.2
43,4,2,NA,2,4.6,3.0,3.2
42,3,2,NA,2,4.8,4.25,4.6
40,3,2,NA,2,5.2,3.8,4.0
51,3,2,NA,2,4.8,3.8,5.25
68,2,1,NA,1,4.2,2.4,3.0
49,5,2,NA,2,5.4,5.4,4.6
43,3,2,NA,2,4.6,4.2,2.6
54,1,2,NA,2,5.6,5.2,5.0
41,3,1,NA,1,4.2,4.0,5.2
47,3,2,NA,2,5.0,5.0,4.0
48,4,2,NA,2,3.8,2.8,2.8
39,3,1,NA,1,4.75,4.4,5.0
36,1,2,NA,2,4.4,2.0,4.8
61,4,1,NA,1,5.4,5.4,4.4
54,2,2,NA,2,5.2,2.8,4.4
52,4,1,NA,1,6.0,5.6,5.6
51,1,1,NA,1,5.0,4.8,3.0
42,3,2,NA,2,3.6,4.2,3.8
51,3,2,NA,2,5.4,5.4,5.2
53,NA,2,NA,2,2.6,4.6,4.2
55,2,1,NA,1,4.6,3.0,1.8
68,2,2,NA,2,5.0,5.0,4.2
54,5,1,NA,1,4.8,4.8,5.0
51,5,2,NA,2,5.4,4.8,4.8
52,4,1,NA,1,4.4,3.6,3.2
40,3,2,NA,2,3.8,3.0,2.4
39,3,2,NA,2,3.8,4.6,5.2
70,5,2,NA,2,5.4,4.4,4.4
55,3,2,NA,2,5.0,6.0,5.0
43,2,2,NA,2,5.0,2.6,2.4
38,1,1,NA,1,3.2,4.0,2.6
41,1,2,NA,2,5.2,4.8,5.2
40,3,2,NA,2,5.2,3.8,3.2
74,5,1,NA,1,5.4,3.0,4.8
71,3,2,NA,2,4.4,5.0,3.2
40,2,2,NA,2,4.4,4.0,4.4
58,1,2,NA,2,4.8,4.8,1.8
73,4,2,NA,2,4.6,4.6,5.4
37,NA,2,NA,2,3.2,4.2,3.6
53,1,2,NA,2,3.2,6.0,4.0
37,3,2,NA,2,2.2,3.6,2.2
35,NA,2,NA,2,3.4,2.6,3.4
58,2,2,NA,2,5.8,5.0,4.6
33,NA,2,NA,2,4.6,2.8,3.4
54,5,2,NA,2,5.0,4.4,5.0
34,NA,1,NA,1,3.6,4.2,2.6
40,1,2,NA,2,3.8,2.4,1.2
47,4,2,NA,2,4.6,5.4,5.0
62,2,2,NA,2,4.6,4.2,5.6
38,1,2,NA,2,3.8,4.6,3.2
40,3,2,NA,2,4.2,3.6,3.5
76,5,2,NA,2,5.2,5.2,5.0
40,3,1,NA,1,4.8,4.8,4.6
57,NA,1,NA,1,4.4,4.8,3.4
35,NA,2,NA,2,4.25,5.0,3.6
40,1,2,NA,2,5.2,3.0,3.6
39,3,2,NA,2,4.4,3.8,5.2
40,3,1,NA,1,5.2,4.0,4.0
39,3,2,NA,2,5.2,3.8,4.6
40,3,1,NA,1,5.2,4.6,5.6
63,1,2,NA,2,4.6,4.0,5.4
63,5,2,NA,2,5.8,5.6,4.6
46,4,2,NA,2,4.2,5.4,1.6
38,NA,2,NA,2,4.6,2.8,3.2
44,4,1,NA,1,3.8,2.8,3.6
40,3,2,NA,2,4.4,3.2,3.6
43,2,2,NA,2,5.8,4.4,5.2
45,3,2,NA,2,4.6,5.4,4.8
45,4,2,NA,2,4.6,3.0,5.0
57,5,1,NA,1,4.6,5.0,5.4
71,5,1,NA,1,4.4,3.6,3.6
56,3,2,NA,2,5.4,5.4,3.4
41,3,1,NA,1,4.2,3.5,4.2
76,5,1,NA,1,4.8,4.6,4.2
39,3,1,NA,1,5.6,4.4,5.2
61,5,2,NA,2,5.8,4.8,4.6
40,3,1,NA,1,4.0,2.8,5.0
42,3,1,NA,1,3.8,5.0,5.8
58,3,2,NA,2,5.0,2.4,3.0
72,5,1,NA,1,2.0,5.2,2.6
57,3,2,NA,2,4.2,5.2,2.8
47,2,2,NA,2,4.4,3.6,3.4
39,3,2,NA,2,5.2,6.0,5.2
65,2,2,NA,2,6.0,4.4,4.4
48,1,2,NA,2,3.2,1.8,3.4
51,3,2,NA,2,5.6,5.6,5.8
39,1,2,NA,2,4.8,3.8,3.75
51,5,2,NA,2,5.6,4.6,5.0
48,1,2,NA,2,5.4,5.4,5.2
41,3,1,NA,1,4.0,2.4,1.2
39,2,2,NA,2,3.8,3.8,2.0
47,3,2,NA,2,5.4,5.4,3.6
41,3,1,NA,1,4.0,5.4,4.4
43,3,1,NA,1,3.8,4.2,4.8
49,4,2,NA,2,5.6,4.4,5.2
44,3,1,NA,1,4.4,4.4,3.6
36,NA,2,NA,2,4.4,3.0,3.4
42,3,1,NA,1,3.8,4.0,5.6
61,4,2,NA,2,5.4,3.4,4.0
46,3,1,NA,1,5.4,4.6,3.0
67,5,1,NA,1,4.8,4.0,4.6
70,3,2,NA,2,4.8,5.2,4.4
49,5,2,NA,2,4.6,3.8,4.2
40,3,1,NA,1,4.6,3.8,3.2
75,5,2,NA,2,3.6,3.6,5.0
42,3,2,NA,2,4.8,3.6,4.0
55,3,2,NA,2,4.2,5.8,3.4
40,3,2,NA,2,5.2,3.4,3.2
69,2,1,NA,1,4.0,4.0,2.8
59,5,2,NA,2,5.0,4.6,4.6
43,3,2,NA,2,5.0,4.4,4.4
45,3,2,NA,2,5.2,3.6,4.2
45,5,1,NA,1,5.8,3.8,2.6
56,NA,2,NA,2,4.0,4.6,4.2
58,4,1,NA,1,4.6,3.2,4.6
37,1,1,NA,1,5.2,3.8,4.2
37,NA,1,NA,1,4.8,2.6,3.2
39,3,2,NA,2,3.0,3.4,4.6
76,4,2,NA,2,6.0,4.0,5.0
48,4,2,NA,2,5.4,3.2,4.0
37,3,2,NA,2,4.6,2.6,4.4
46,3,2,NA,2,5.6,5.6,4.8
66,3,2,NA,2,4.0,4.4,5.0
41,3,2,NA,2,4.8,4.6,3.4
66,3,2,NA,2,5.0,5.6,4.6
59,2,2,NA,2,5.8,5.25,5.0
39,3,2,NA,2,3.2,5.4,1.6
45,3,2,NA,2,5.6,4.75,3.6
42,5,1,NA,1,5.2,3.2,2.6
37,NA,2,NA,2,5.0,3.8,4.8
47,3,2,NA,2,5.4,3.2,4.4
40,4,2,NA,2,5.8,5.0,5.4
41,5,1,NA,1,4.8,5.8,4.2
41,3,2,NA,2,5.4,5.4,3.8
75,4,2,NA,2,6.0,4.6,5.6
44,3,2,NA,2,5.4,2.8,3.4
45,4,1,NA,1,4.8,4.4,3.2
59,5,1,NA,1,4.0,5.6,4.2
59,3,2,NA,2,5.4,3.2,5.2
41,3,2,NA,2,4.8,3.8,5.0
57,5,2,NA,2,4.4,3.8,3.2
42,2,1,NA,1,2.6,3.0,2.6
44,4,2,NA,2,5.4,4.0,4.8
41,3,2,NA,2,4.8,4.2,5.0
40,3,1,NA,1,4.6,6.0,5.0
39,3,1,NA,1,5.0,4.0,4.8
41,3,1,NA,1,4.8,4.0,4.2
50,5,1,NA,1,4.8,3.8,4.6
38,1,2,NA,2,5.2,3.8,4.0
73,4,2,NA,2,4.0,3.6,3.2
47,3,1,NA,1,3.8,3.6,2.25
68,4,2,NA,2,3.4,4.4,3.0
50,4,2,NA,2,5.4,4.8,4.0
45,3,2,NA,2,5.2,3.8,3.4
55,4,2,NA,2,4.6,2.2,4.0
37,NA,2,NA,2,5.0,1.0,3.6
61,3,2,NA,2,4.6,4.0,3.2
61,3,2,NA,2,5.2,5.2,5.0
57,3,2,NA,2,6.0,6.0,5.4
80,3,2,NA,2,4.8,4.6,4.4
43,3,2,NA,2,5.4,4.2,5.2
73,3,1,NA,1,5.6,5.2,4.8
39,2,2,NA,2,4.6,4.8,2.8
55,3,2,NA,2,5.75,4.25,5.2
39,2,1,NA,1,3.4,4.4,2.6
44,1,1,NA,1,5.4,2.8,5.4
41,3,2,NA,2,4.4,5.0,3.0
49,3,2,NA,2,4.8,5.4,4.6
45,4,2,NA,2,5.2,3.6,4.8
45,4,2,NA,2,5.2,3.8,4.8
38,3,2,NA,2,4.4,5.6,4.8
57,5,2,NA,2,5.2,3.2,4.4
40,3,2,NA,2,5.0,5.2,5.0
41,3,2,NA,2,5.4,5.2,3.4
54,1,2,NA,2,5.4,4.6,4.8
58,2,2,NA,2,5.8,4.6,5.4
50,4,1,NA,1,4.0,3.0,4.0
36,1,1,NA,1,4.4,3.4,3.8
43,3,2,NA,2,4.6,5.6,4.0
42,3,2,NA,2,6.0,4.8,5.5
57,3,1,NA,1,4.6,5.2,5.2
50,4,1,NA,1,4.8,5.2,3.0
41,3,2,NA,2,4.4,6.0,5.6
52,3,2,NA,2,4.6,3.6,1.8
34,NA,2,NA,2,2.0,4.8,2.0
75,4,2,NA,2,4.6,3.4,3.2
46,4,1,NA,1,4.4,3.4,4.8
42,5,2,NA,2,6.0,3.8,5.2
41,3,1,NA,1,5.6,3.4,5.0
48,4,2,NA,2,3.4,4.0,1.4
61,5,2,NA,2,4.8,4.6,3.8
37,NA,1,NA,1,4.2,3.6,3.2
72,5,2,NA,2,4.6,4.2,3.8
38,1,2,NA,2,4.8,4.2,5.4
76,5,1,NA,1,4.2,4.4,3.6
75,5,2,NA,2,3.6,4.8,3.4
63,4,2,NA,2,5.0,5.4,5.6
42,3,1,NA,1,3.0,4.0,2.6
45,4,2,NA,2,5.0,5.2,4.4
47,3,2,NA,2,3.0,4.8,4.0
68,2,2,NA,2,6.0,6.0,6.0
51,5,2,NA,2,3.6,4.8,3.0
44,3,2,NA,2,4.8,4.8,5.4
41,3,1,NA,1,3.4,4.4,4.75
44,3,1,NA,1,5.8,4.0,6.0
41,3,2,NA,2,5.0,5.6,4.6
47,3,2,NA,2,5.0,3.2,5.6
38,1,1,NA,1,1.4,3.0,1.6
44,3,1,NA,1,4.8,5.2,3.6
52,5,1,NA,1,4.0,3.4,3.5
39,1,2,NA,2,4.0,3.6,2.6
72,5,2,NA,2,5.6,6.0,3.2
38,1,1,NA,1,5.6,3.2,3.6
50,3,1,NA,1,4.8,5.4,4.0
38,1,1,NA,1,4.0,3.0,3.4
42,4,2,NA,2,2.2,4.6,4.6
66,4,1,NA,1,4.0,4.8,2.8
36,NA,1,NA,1,4.0,3.6,2.4
48,4,1,NA,1,4.4,3.8,3.2
39,3,2,NA,2,4.8,4.6,5.0
58,4,1,NA,1,4.6,3.75,5.0
44,4,2,NA,2,2.2,4.4,3.8
42,4,2,NA,2,3.8,4.0,3.8
36,1,2,NA,2,2.6,3.8,4.2
44,4,2,NA,2,5.0,3.6,4.8
43,3,1,NA,1,3.6,2.8,3.2
43,4,1,NA,1,4.4,3.2,3.6
42,5,2,NA,2,5.2,4.4,4.2
44,5,1,NA,1,3.4,5.0,3.8
46,3,2,NA,2,5.6,5.0,4.4
42,3,2,NA,2,4.8,4.6,4.2
55,1,1,NA,1,3.6,3.6,3.6
63,3,2,NA,2,5.6,4.6,4.8
37,NA,2,NA,2,6.0,3.2,5.4
57,5,2,NA,2,5.4,5.6,5.4
41,3,2,NA,2,6.0,5.4,5.4
41,3,2,NA,2,4.6,3.6,5.6
45,5,2,NA,2,4.6,4.2,2.8
47,3,1,NA,1,4.6,4.8,5.0
42,4,1,NA,1,4.2,4.2,3.2
39,3,2,NA,2,5.2,5.2,3.8
60,3,2,NA,2,6.0,5.6,6.0
41,1,1,NA,1,3.8,3.2,2.6
37,1,1,NA,1,4.0,3.8,2.6
41,NA,1,NA,1,4.6,2.0,5.2
37,NA,1,NA,1,2.6,2.6,3.0
39,2,2,NA,2,5.8,5.4,5.4
42,3,2,NA,2,5.2,2.4,3.4
38,3,2,NA,2,4.6,3.2,4.2
82,2,1,NA,1,5.75,3.0,5.6
42,4,2,NA,2,3.6,2.4,2.8
51,3,2,NA,2,5.8,5.2,5.0
42,1,1,NA,1,4.4,4.6,1.0
43,4,1,NA,1,4.4,4.0,4.0
42,3,2,NA,2,5.6,3.8,3.8
51,NA,2,NA,2,3.0,4.2,3.4
70,2,1,NA,1,5.75,4.6,5.8
40,1,1,NA,1,3.8,3.4,2.6
48,3,2,NA,2,5.8,3.8,3.6
55,4,1,NA,1,5.2,5.6,5.2
40,3,2,NA,2,4.4,4.8,3.0
56,4,2,NA,2,4.8,4.6,5.4
47,NA,2,NA,2,4.8,4.6,4.0
48,4,1,NA,1,4.2,3.6,2.2
60,2,2,NA,2,4.4,3.2,2.8
40,3,2,NA,2,2.8,4.8,2.8
43,3,1,NA,1,4.2,3.4,1.2
38,3,2,NA,2,3.6,5.0,4.2
